subject,writer,view,file,comment,id,date
1370,2022-2학기 제2전공(부·복수·융합전공) 신청 안내 ,컴퓨터공학전공,2022.05.17,0,8,
1369,2022-2학기 IPP장기현장실습 (졸업인증용) 안내 ,컴퓨터공학전공,2022.05.16,0,35,
1368,2022-1학기 졸업인증 신청결과 및 심사평가 안내 ,컴퓨터공학전공,2022.05.16,0,43,
1367,2022학년도 하계계절학기 수강신청 안내 ,컴퓨터공학전공,2022.05.13,0,38,
1366,2022-1학기 장학사정관 장학생 추천 ,컴퓨터공학전공,2022.05.13,0,25,
1365,2022년도 2학기 조기졸업 안내 ,컴퓨터공학전공,2022.05.12,0,51,
1364,2022-1학기 가천동문 장학금 개선 및 신청기간 안내 ,컴퓨터공학전공,2022.05.12,0,41,
1363,졸업작품(또는 프로젝트)를 위한 기술분야 의견수렴 조사 ,컴퓨터공학전공,2022.05.11,0,317,
1362,(필독) 컴공 졸업인증 학과내규 안내,컴퓨터공학전공,2022.05.06,0,486,
1361,(필독) 컴공 졸업인증 심사신청서 제출안내,컴퓨터공학전공,2022.05.06,0,391,
1360,2022-1학기 Open Lab Fair 행사,컴퓨터공학전공,2022.05.04,0,247,
1359,2022-하계 단기 현장실습학기제(현장실습) 시행 안내,컴퓨터공학전공,2022.05.04,0,130,
1358,2022학년도 주심장학생단 장학생 선발 안내,컴퓨터공학전공,2022.05.03,0,67,
1357,AK아이에스(주) 상반기 신입 모집공고,컴퓨터공학전공,2022.05.03,0,64,
1356,2022 가천대학교 창의적 종합설계 아이디어 공모전 안내,컴퓨터공학전공,2022.04.29,0,81,
1355,통합 10주년 메타버스 박람회 「가천 FOR 10」 직무멘토링 및 채용특강 사전신청 안내,컴퓨터공학전공,2022.04.28,0,53,
1354,컴퓨터공학과 4학년 진로 설문조사,컴퓨터공학전공,2022.04.28,0,73,
1353,5월 컴퓨터공학과 CAP 특강 안내,컴퓨터공학전공,2022.04.27,0,131,
1352,2022학년도 하계 계절학기 예비수강신청 및 일정 안내,컴퓨터공학전공,2022.04.20,0,104,
1351,2022년 국가우수장학(이공계) 장학생 성적우수 및 재학중우수유형 추천,컴퓨터공학전공,2022.04.11,0,87,
1350,2022-1학기 고 의인 천소룡기념 장학금 신청 안내,컴퓨터공학전공,2022.04.11,0,75,
1349,[대학혁신]2022년 학습전략워크숍 시행,컴퓨터공학전공,2022.04.06,0,84,
1348,월드IT쇼 초청장 배부,컴퓨터공학전공,2022.04.06,0,103,
1347,2022학년도 자랑스러운 가천인상 및 가천인재상 추천 안내,컴퓨터공학전공,2022.04.05,0,100,
1346,2021-후기 졸업대상자 제2전공(부/복수) 자격신청서 제출 안내,컴퓨터공학전공,2022.04.05,0,66,
1345,[KISIA] 한국정보보호산업협회 상반기 인턴 채용공고,컴퓨터공학전공,2022.04.01,0,94,
1344,발란(BALAAN) 채용 정보,컴퓨터공학전공,2022.04.01,0,160,
1343,AI공학과 강의실 재배치 안내,컴퓨터공학전공,2022.03.28,0,291,
1342,2021-후기 졸업예정자 안내,컴퓨터공학전공,2022.03.23,0,154,
1341,2021-후기 졸업예정자 1차 졸업사정자료 확인 방법,컴퓨터공학전공,2022.03.21,0,166,
1340,2022학년도 졸업인증 대체프로그램 운영,컴퓨터공학전공,2022.03.21,0,184,
1339,2022학년도 1학기 수강신청 확인서 제출 안내,컴퓨터공학전공,2022.03.21,0,107,
1338,2022-1학기 교내장학금 2차 신청기간 안내,컴퓨터공학전공,2022.03.21,0,129,
1337,2022 신입생 및 재학생 실태조사 실시 안내,컴퓨터공학전공,2022.03.15,0,99,
1336,AI공학관 비대면 수업 2주 연장,컴퓨터공학전공,2022.03.15,0,139,
1335,2022 인성세미나 수강생 대상 가천 Pride Up 1:1 맞춤형 상담 신청 안내,컴퓨터공학전공,2022.03.15,0,57,
1334,노트북지원금 신청서류 작성 유의사항,컴퓨터공학전공,2022.03.10,0,424,
1333,[Must-Read] 2022-1 Semester Application for Person,컴퓨터공학전공,2022.03.04,0,203,
1332,*마감* 2022 1학기 노트북지원금 신청 안내 *내용 추가,컴퓨터공학전공,2022.03.04,0,1206,
1331,[LINC+] 스마트에너지시스템 융합전공 학생 추가모집(3학년),컴퓨터공학전공,2022.03.04,0,52,
1330,대학원생 및 학부 연구생 모집 (기계공학과 김남중 교수),컴퓨터공학전공,2022.03.04,0,114,
1329,IT특강 증원관련 수강신청 안내,컴퓨터공학전공,2022.03.02,0,236,
1328,전기화학공학 강좌내용 안내,컴퓨터공학전공,2022.03.02,0,86,
1327,확률과통계 및 증원불가과목 안내,컴퓨터공학전공,2022.03.02,0,198,
1326,스마트보안학과 전공신청 관련,컴퓨터공학전공,2022.03.02,0,108,
1325,2022-1학기 전공강의 수요조사 결과에 따른 처리안내,컴퓨터공학전공,2022.02.28,0,1107,
1324,2022-1학기 수강과목 수요조사 안내 [212],컴퓨터공학전공,2022.02.21,212,2861,
1323,디지털 청년 고민해결단 온라인 멘토링,컴퓨터공학전공,2022.02.18,0,126,
1322,컴퓨터공학과 사무실 이전 안내,컴퓨터공학전공,2022.02.18,0,373,
1321,수강신청 안내,컴퓨터공학전공,2022.02.14,0,1705,
1320,시간표 변경사항 안내,컴퓨터공학전공,2022.02.11,0,486,
1319,외국어능력 졸업인증 인정 공인시험 추가,컴퓨터공학전공,2022.02.10,0,136,
1318,2022학년도 1학기 수강신청 안내,컴퓨터공학전공,2022.02.10,0,444,
1317,팹리스 아카데미 설명회 안내,컴퓨터공학전공,2022.02.09,0,150,
1316,2021-전기 졸업예정자 불합격 통보자 필독사항,컴퓨터공학전공,2022.01.26,0,411,
1315,2021학년도 전기 학위수여 및 학위복 대여 안내,컴퓨터공학전공,2022.01.26,0,402,
1314,"2021-전기 졸업대상자(합격자, 불합격자) 안내문",컴퓨터공학전공,2022.01.26,0,231,
1313,2022년 상반기「ICT 학점연계 프로젝트 인턴십」모집 안내,컴퓨터공학전공,2022.01.21,0,176,
1312,2022-1학기 취창업진로세미나 수업 수요조사,컴퓨터공학전공,2022.01.18,0,140,
1311,학과 건물 이전 안내,컴퓨터공학전공,2022.01.12,0,541,
1310,2021-2학기 ‘학사경고자를 위한 re:start’ 프로그램 이수 안내,컴퓨터공학전공,2022.01.05,0,148,
1309,2022-1학기 학·석사연계과정 신청 안내,컴퓨터공학전공,2021.12.29,0,207,
1308,바이오-인공지능 융합전공 참여자 모집 공고,컴퓨터공학전공,2021.12.24,0,152,
1307,[LINC+]2022 바이오-인공지능 융합전공 신규모집을 위한 수요조사,컴퓨터공학전공,2021.12.23,0,83,
1306,표준 현장실습학기제 (주)에이치티원 학생 1명모집,컴퓨터공학전공,2021.12.22,0,161,
1305,IT 디스플레이 융복합 플랫폼 융합전공 참여자 모집 (2022년 3학년 대상),컴퓨터공학전공,2021.12.20,0,143,
1304,[LINC+] 스마트에너지시스템 융합전공 학생 추가모집(3학년),컴퓨터공학전공,2021.12.17,0,100,
1303,IPP형 일학습병행 모집,컴퓨터공학전공,2021.12.16,0,211,
1302,빅씨앤에스(주) 보안솔루션 기술지원 엔지니어 모집,컴퓨터공학전공,2021.12.16,0,120,
1301,2022학년도 1학기 교내장학금 신청 기간 안내,컴퓨터공학전공,2021.12.15,0,208,
1300,2021-전기 졸업대상자 전공 Honors 졸업인증 신청서 제출 안내,컴퓨터공학전공,2021.12.14,0,109,
1299,2022-1학기 전과신청자 1차 합격자 명단 및 면접(2차) 안내,컴퓨터공학전공,2021.12.10,0,432,
1298,2022-1학기 재입학 신청 안내,컴퓨터공학전공,2021.12.07,0,72,
1297,동계 단기 현장실습학기제 이수 후 취업연계 학생 모집,컴퓨터공학전공,2021.12.07,0,181,
1296,아이티센그룹 하반기 공채 안내,컴퓨터공학전공,2021.12.06,0,123,
1295,2021-전기 융합(연계)부전공 자격신청서 제출 안내,컴퓨터공학전공,2021.12.03,0,112,
1294,2021-전기 융합(연계)전공 자격신청서 제출 안내,컴퓨터공학전공,2021.12.02,0,177,
1293,2022-1학기 미등록휴학 및 휴학연기 안내,컴퓨터공학전공,2021.11.30,0,93,
1292,2021-2학기 실·폐업자 자녀 긴급 경제사정 곤란자 교내장학금,컴퓨터공학전공,2021.11.29,0,76,
1291,창의NTree 상장 및 장학금 지급,컴퓨터공학전공,2021.11.29,0,183,
1290,SW중심대학사업단 2021-동계 실습조교 신청 안내,컴퓨터공학전공,2021.11.25,0,125,
1289,[IPP사업단] 22년도 일학습병행제 및 신입사원 추천,컴퓨터공학전공,2021.11.19,0,230,
