writer,id,datetime,text
Elon Musk,@elonmusk,2022-05-15T01:34:47.000Z,Incredible art
Elon Musk,@elonmusk,2022-05-15T01:32:28.000Z,Great shoes
Elon Musk,@elonmusk,2022-05-15T00:45:18.000Z,Borderline too sexy
Elon Musk,@elonmusk,2022-05-15T00:22:20.000Z,"Sooo tasty at first, but then no more golden eggs …"
Elon Musk,@elonmusk,2022-05-15T00:19:19.000Z,The Golden State is cooking its golden geese
Elon Musk,@elonmusk,2022-05-14T23:55:42.000Z,The Lawyers Who Ate California
Elon Musk,@elonmusk,2022-05-14T23:08:17.000Z,(This message brought to you by the Illuminaughty)
Elon Musk,@elonmusk,2022-05-14T23:04:15.000Z,"Very important to fix your Twitter feed:

1. Tap home button.
2. Tap stars on upper right of screen.
3. Select “Latest tweets”.

You are being manipulated by the algorithm in ways you don’t realize.

Easy to switch back & forth to see the difference."
Elon Musk,@elonmusk,2022-05-15T07:28:05.000Z,Not to mention potential bugs in the code. Open source is the way to go to solve both trust and efficacy.
Elon Musk,@elonmusk,2022-05-15T07:23:13.000Z,"I’m not suggesting malice in the algorithm, but rather that it’s trying to guess what you might want to read and, in doing so, inadvertently manipulate/amplify your viewpoints without you realizing this is happening"
Elon Musk,@elonmusk,2022-05-15T02:30:38.000Z,"Iconic
laconic
!platonic"
SpaceX,@SpaceX,2022-05-14T22:04:35.000Z,"Back-to-back Falcon 9 launches of Starlink within 24 hours, completing SpaceX's 19th and 20th launches of the year"
SpaceX,@SpaceX,2022-05-14T20:49:55.000Z,Falcon 9’s first stage has landed on the Just Read the Instructions droneship
Elon Musk,@elonmusk,2022-05-14T18:54:19.000Z,"At least, that’s what the lib hivemind thinks haha"
Elon Musk,@elonmusk,2022-05-14T18:52:07.000Z,Whoever thought owning the libs would be cheap never tried to acquire a social media company!
Elon Musk,@elonmusk,2022-05-14T02:41:00.000Z,The bots are angry at being counted 
Elon Musk,@elonmusk,2022-05-14T01:47:07.000Z,"To find out, my team will do a random sample of 100 followers of @twitter. 

I invite others to repeat the same process and see what they discover …"
SpaceX,@SpaceX,2022-05-13T22:08:37.000Z,Liftoff!
Elon Musk,@elonmusk,2022-05-13T11:50:06.000Z,Still committed to acquisition
Elon Musk,@elonmusk,2022-05-13T09:44:38.000Z,Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users
Elon Musk,@elonmusk,2022-05-13T08:26:14.000Z,The straw war is emblematic of larger social issues
Elon Musk,@elonmusk,2022-05-13T01:52:48.000Z,How did it even start?
Elon Musk,@elonmusk,2022-05-13T01:31:19.000Z,The last straw was the last straw!
Elon Musk,@elonmusk,2022-05-13T01:29:06.000Z,Stop the war on straws!
Elon Musk,@elonmusk,2022-05-13T00:38:13.000Z,Updated Starlink availability by region
Elon Musk,@elonmusk,2022-05-12T22:45:27.000Z,"Biden’s mistake is that he thinks he was elected to transform the country, but actually everyone just wanted less drama"
Elon Musk,@elonmusk,2022-05-12T22:36:38.000Z,"Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter"
Elon Musk,@elonmusk,2022-05-12T22:21:34.000Z,Don’t Diss Information
Elon Musk,@elonmusk,2022-05-12T00:25:30.000Z,Tap on the stars in upper right of screen to revert to chronological
Elon Musk,@elonmusk,2022-05-12T00:24:46.000Z,Chronological tweets seem much better than what “the algorithm” suggests
Elon Musk,@elonmusk,2022-05-11T19:24:56.000Z,
Elon Musk,@elonmusk,2022-05-11T00:56:54.000Z,"Starlink has resisted Russian cyberwar jamming & hacking attempts so far, but they’re ramping up their efforts"
Elon Musk,@elonmusk,2022-05-09T13:35:52.000Z,Chocolate milk is insanely good. Just had some.
Elon Musk,@elonmusk,2022-05-09T11:13:59.000Z,There are no angels in war
Elon Musk,@elonmusk,2022-05-09T00:51:26.000Z,"If I die under mysterious circumstances, it’s been nice knowin ya"
Elon Musk,@elonmusk,2022-05-09T00:45:05.000Z,The word “Nazi” doesn’t mean what he seems to think it does
Elon Musk,@elonmusk,2022-05-09T00:40:57.000Z,.@Rogozin sent this to Russian media
Elon Musk,@elonmusk,2022-05-07T12:37:25.000Z,"Also, work ethic expectations would be extreme, but much less than I demand of myself"
Elon Musk,@elonmusk,2022-05-06T16:10:46.000Z,"I strongly believe that all managers in a technical area must be technically excellent. 

Managers in software must write great software or it’s like being a cavalry captain who can’t ride a horse!"
Elon Musk,@elonmusk,2022-05-06T15:33:10.000Z,Another Starlink mission completed
