Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Copper Losses of Flyback Transformer: Search for Analytical Expressions,"Larouci, C.; Keradec, J.-P.; Ferrieux, J.-P.; Gerbaud, L.; Roudet, J.",IEEE; 1999,2003
,2,50 Years of Piezoelectric Transformers: Trends in the Technology,"Carazo, A. V.","Warrendale, Pa.; Materials Research Society; 1999",2004
,3,Modelling and Control of Transformer-less Universal Power Quality Conditioner (TUnPQC): An Effective Solution for Power Quality Enhancement in Distribution System,"Venkatraman, K.; Moorthi, S.; Selvan, M. P.",Springer Science + Business Media,2017
,4,Solid/vapour sorption heat transformer: Design and performance,"Haije, W. G.; Veldhuis, J. B.; Smeding, S. F.; Grisel, R. J.","Elsevier Science B.V., Amsterdam.",2007
,5,Parallel Operation of Transformer-Based Improved Z-Source Inverter With High Boost and Interleaved Control,"Aleem, Zeeshan; Winberg, Simon L.; Ahmed, Hafiz Furqan; Park, Jung-Wook",IEEE,2022
,6,A 56.5&#x2013;72.2 GHz Transformer-Injection Miller Frequency Divider in 0.13  Formula Not Shown  CMOS,"Chang, W. S.; Tan, K. W.; Hsu, S. S.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2010
,7,Magnetoelectric Particulate Composite Transformers: Design and Characterization,"ISLAM, R.; MOSES, P.; PRIYA, S.",Taylor & Francis,2008
,8,Thermal calculation of transformer-type radiator,"Serikov, A. V.; Gerasimenko, T. V.",Springer Science + Business Media,2011
,9,High Temperature Superconducting Demonstrator Transformer: Design Considerations and First Test Results,"Sykulski, J. K.;Goddard, K.;Stoll, R. L.",IEEE,1999
,10,Low-Mismatch and Low-Loss Transformer-Based SPDT Switch with Switching Load Technique for 5G Applications,"Quan, X.; Zhan, J.; Luo, J.; Su, G.; Wang, X.",WORLD SCIENTIFIC CO. PTE. LTD.,2021
,11,Wavelength-compensated Fourier and Fresnel transformers: a unified approach,"Lancis, J.; Minguez-Vega, G.; Tajahuerce, E.; Fernandez-Alonso, M.; Climent, V.; Andres, P.",OPTICAL SOCIETY OF AMERICA,2002
,12,Pulse-driven LED circuit with transformer-based current balance technique,"Kwak, S.-S.",Taylor & Francis,2014
,13,A 40 mV Transformer-Reuse Self-Startup Boost Converter With MPPT Control for Thermoelectric Energy Harvesting,"Im, J. P.; Wang, S. W.; Ryu, S. T.; Cho, G. H.",IEEE; 1998,2012
,14,"Analysis of a Transformer-less, Multi-Level DC-DC Converter for HVDC Operation","Karady, G. G.; Devarajan, S.",Illinois Institute of Technology,1998
,15,900 MJ toroidal transformer-type inductive energy storage,N.I. Doinikov ; A.S. Druzhinin ; Y.M. Krivchenkov ; V.A. Krylov ; V.G. Kuchinsky ; B.A. Larionov ; G.M. Makeev ; A.S. Simakov ; V.F. Soikin ; Y.V. Spirchenko ; A.G. Panin,Published by the Institute of Electrical and Electronics Engineers for the Magnetics Group,1992
,16,Seismic Response of High-Voltage Transformer-Bushing Systems Incorporating Flexural Stiffeners I: Numerical Study,"Koliou, M.; Filiatrault, A.; Reinhorn, A.M.",EARTHQUAKE ENGINEERING RESEARCH INSTITUTE,2013
,17,Grid-Connected PV-Wind-Battery-Based Multi-Input Transformer-Coupled Bidirectional DC-DC Converter for Household Applications,"Mangu, B.; Akshatha, S.; Suryanarayana, D.; Fernandes, B. G.",IEEE,2016
,18,A 28GHz Compact 3-Way Transformer-Based Parallel-Series Doherty Power Amplifier With 20.4%/14.2% PAE at 6-,"Ma, Zonglin",IEEE INC,2022
,19,A High Gain Transformer-Less DC-DC Converter for Fuel-Cell Applications,"Palma, L.; Todorovic, M. H.; Enjeti, P.","Piscataway, N.J.:; Institute of Electrical and Electronics Engineers,",2005
,20,Flow electrification in power transformers: acid-base interactions at the oil-pressboard interface,"Bourgeois, A.; Mortha, G.; Bertrand, Y.; Paillat, T.; Moreau, O.; Mas, P.; Touchard, G.","Laplacian Press,",2006
,21,Transmission line pulse transformers&amp;#8212;Theory and applications,"Matick, R.E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1968
,22,Power Electronic Traction Transformer: Efficiency Improvements Under Light-Load Conditions,"Besselmann, T.; Mester, A.; Dujic, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
