입국자국가,국가코드,입국연월,입국자 수
중국,112,202001,481681
중국,112,202002,104086
중국,112,202003,16595
중국,112,202004,3935
중국,112,202005,5124
중국,112,202006,5051
중국,112,202007,9738
중국,112,202008,16275
중국,112,202009,15307
중국,112,202010,11477
중국,112,202011,9174
중국,112,202012,7987
중국,112,202101,7346
중국,112,202102,11982
중국,112,202103,18980
중국,112,202104,16830
중국,112,202105,14221
중국,112,202106,12942
중국,112,202107,13469
중국,112,202108,17103
중국,112,202109,19144
중국,112,202110,14035
중국,112,202111,12472
중국,112,202112,11691
중국,112,202201,9489
중국,112,202202,16752
중국,112,202203,14726
